region,week_end_date,historical_endogeneous,wILI
X,2006-08-05,0.616326,0.616326
X,2006-08-12,0.6856939999999999,0.6856939999999999
X,2006-08-19,0.6226970000000001,0.6226970000000001
X,2006-08-26,0.611817,0.611817
X,2006-09-02,0.638831,0.638831
X,2006-09-09,0.8066270000000001,0.8066270000000001
X,2006-09-16,0.7624479999999999,0.7624479999999999
X,2006-09-23,0.8134060000000001,0.8134060000000001
X,2006-09-30,0.807934,0.807934
X,2006-10-07,1.15384,1.15384
X,2006-10-14,1.14819,1.14819
X,2006-10-21,1.22736,1.22736
X,2006-10-28,1.2174399999999999,1.2174399999999999
X,2006-11-04,1.32813,1.32813
X,2006-11-11,1.4775399999999999,1.4775399999999999
X,2006-11-18,1.5339,1.5339
X,2006-11-25,1.9126900000000002,1.9126900000000002
X,2006-12-02,1.838,1.838
X,2006-12-09,1.95376,1.95376
X,2006-12-16,2.40407,2.40407
X,2006-12-23,2.87453,2.87453
X,2006-12-30,3.02597,3.02597
X,2007-01-06,2.37817,2.37817
X,2007-01-13,2.09232,2.09232
X,2007-01-20,2.2939599999999998,2.2939599999999998
X,2007-01-27,2.7450099999999997,2.7450099999999997
X,2007-02-03,3.04434,3.04434
X,2007-02-10,3.49999,3.49999
X,2007-02-17,3.5785099999999996,3.5785099999999996
X,2007-02-24,3.28979,3.28979
X,2007-03-03,2.89149,2.89149
X,2007-03-10,2.62075,2.62075
X,2007-03-17,2.5338700000000003,2.5338700000000003
X,2007-03-24,2.07251,2.07251
X,2007-03-31,1.87084,1.87084
X,2007-04-07,1.40042,1.40042
X,2007-04-14,1.4688700000000001,1.4688700000000001
X,2007-04-21,1.15514,1.15514
X,2007-04-28,1.07901,1.07901
X,2007-05-05,0.98492,0.98492
X,2007-05-12,1.03325,1.03325
X,2007-05-19,0.926649,0.926649
X,2007-05-26,0.9201,0.9201
X,2007-06-02,0.954094,0.954094
X,2007-06-09,0.763278,0.763278
X,2007-06-16,0.81722,0.81722
X,2007-06-23,0.764586,0.764586
X,2007-06-30,0.793127,0.793127
X,2007-07-07,0.66909,0.66909
X,2007-07-14,0.62115,0.62115
X,2007-07-21,0.6036590000000001,0.6036590000000001
X,2007-07-28,0.649058,0.649058
X,2007-08-04,0.568338,0.568338
X,2007-08-11,0.651546,0.651546
X,2007-08-18,0.652176,0.652176
X,2007-08-25,0.8038489999999999,0.8038489999999999
X,2007-09-01,0.787458,0.787458
X,2007-09-08,0.943263,0.943263
X,2007-09-15,0.946932,0.946932
X,2007-09-22,0.987146,0.987146
X,2007-09-29,1.05206,1.05206
X,2007-10-06,0.9951840000000001,0.9951840000000001
X,2007-10-13,1.22003,1.22003
X,2007-10-20,1.28548,1.28548
X,2007-10-27,1.3775,1.3775
X,2007-11-03,1.46725,1.46725
X,2007-11-10,1.55841,1.55841
X,2007-11-17,1.61958,1.61958
X,2007-11-24,1.8112,1.8112
X,2007-12-01,1.61865,1.61865
X,2007-12-08,1.62124,1.62124
X,2007-12-15,1.6735099999999998,1.6735099999999998
X,2007-12-22,1.9509599999999998,1.9509599999999998
X,2007-12-29,2.5001900000000004,2.5001900000000004
X,2008-01-05,2.43939,2.43939
X,2008-01-12,2.29319,2.29319
X,2008-01-19,2.62907,2.62907
X,2008-01-26,3.9296599999999997,3.9296599999999997
X,2008-02-02,4.99202,4.99202
X,2008-02-09,5.7776,5.7776
X,2008-02-16,5.98318,5.98318
X,2008-02-23,5.61677,5.61677
X,2008-03-01,4.5323400000000005,4.5323400000000005
X,2008-03-08,3.83249,3.83249
X,2008-03-15,3.21522,3.21522
X,2008-03-22,2.69245,2.69245
X,2008-03-29,2.03366,2.03366
X,2008-04-05,1.65275,1.65275
X,2008-04-12,1.3113,1.3113
X,2008-04-19,1.1652,1.1652
X,2008-04-26,1.02035,1.02035
X,2008-05-03,0.877607,0.877607
X,2008-05-10,0.8251069999999999,0.8251069999999999
X,2008-05-17,0.787315,0.787315
X,2008-05-24,0.805439,0.805439
X,2008-05-31,0.8860610000000001,0.8860610000000001
X,2008-06-07,0.743743,0.743743
X,2008-06-14,0.706842,0.706842
X,2008-06-21,0.655943,0.655943
X,2008-06-28,0.633492,0.633492
X,2008-07-05,0.571837,0.571837
X,2008-07-12,0.5582779999999999,0.5582779999999999
X,2008-07-19,0.597893,0.597893
X,2008-07-26,0.577222,0.577222
X,2008-08-02,0.5969869999999999,0.5969869999999999
X,2008-08-09,0.564653,0.564653
X,2008-08-16,0.5856819999999999,0.5856819999999999
X,2008-08-23,0.503985,0.503985
X,2008-08-30,0.468139,0.468139
X,2008-09-06,0.576455,0.576455
X,2008-09-13,0.681361,0.681361
X,2008-09-20,0.794764,0.794764
X,2008-09-27,0.868116,0.868116
X,2008-10-04,1.06828,1.06828
X,2008-10-11,1.00756,1.00756
X,2008-10-18,0.979399,0.979399
X,2008-10-25,1.0494299999999999,1.0494299999999999
X,2008-11-01,1.13218,1.13218
X,2008-11-08,1.1315600000000001,1.1315600000000001
X,2008-11-15,1.15469,1.15469
X,2008-11-22,1.20448,1.20448
X,2008-11-29,1.36081,1.36081
X,2008-12-06,1.30322,1.30322
X,2008-12-13,1.3020399999999999,1.3020399999999999
X,2008-12-20,1.45109,1.45109
X,2008-12-27,1.7992700000000001,1.7992700000000001
X,2009-01-10,1.47138,1.47138
X,2009-01-17,1.61555,1.61555
X,2009-01-24,1.95333,1.95333
X,2009-01-31,2.4290700000000003,2.4290700000000003
X,2009-02-07,2.96686,2.96686
X,2009-02-14,3.57354,3.57354
X,2009-02-21,3.3665300000000005,3.3665300000000005
X,2009-02-28,3.2962,3.2962
X,2009-03-07,3.17227,3.17227
X,2009-03-14,2.5804,2.5804
X,2009-03-21,2.42922,2.42922
